ESP;ESP;ALL;ALL;ALL;ALL;ALL;ALL;ALL;ALL
ALL;HGGSP;ESP;ESP;ESP;ESP;ESP;ESP;ESP;ESP
HLP;HLP;HGGSP;HGGSP;HGGSP;HGGSP;HGGSP;CHI;CHI;CHI
LLCE_ENG;LLCE_ENG;HLP;LLCE_ENG;HLP;HLP;HLP;MATHS;MATHS;HGGSP
MATHS;SVT;NSI;MATHS;LLCE_ENG;LLCE_ENG;LLCE_ENG;NSI;NSI;HLP
NSI;SES;PC;PC;MATHS;MATHS;LLCE_ESP;PC;PC;LLCE_ENG
PC;MUSIC;SVT;SVT;NSI;PC;MATHS;SVT;SVT;MATHS
SVT;THEATRE;SES;SES;PC;SVT;PC;SES;SI;SES
SES;ART_P;MUSIC;THEATRE;SVT;SES;SVT;MUSIC;DGEMC;THEATRE
HGGSP;CHI3;THEATRE;ART_P;SES;MUSIC;SES;THEATRE;MATHSCOMP;ART_P
THEATRE;MUSICop;ART_P;DGEMC;THEATRE;THEATRE;MUSIC;ART_P;MATHSEXPERT;DGEMC
ART_Pop;THEATREop;DGEMC;MATHSCOMP;ART_P;DGEMC;THEATRE;DGEMC;GREC;MATHSCOMP
CHI3;EUROENG;MATHSCOMP;GREC;DGEMC;MATHSCOMP;DGEMC;MATHSCOMP;CHI3;LATIN
MUSICop;;GREC;CHI3;MATHSCOMP;MATHSEXPERT;MATHSCOMP;LATIN;ART_Pop;CHI3
THEATREop;;CHI3;MUSICop;MATHSEXPERT;LATIN;LATIN;MUSICop;EUROENG;MUSIQUE
ART_Pop;;MUSICop;THEATREop;LATIN;GREC;GREC;THEATREop;;THEATRE
EUROENG;;THEATREop;ART_Pop;MUSICop;CHI3;CHI3;ART_Pop;;EUROENG
;;ART_Pop;EUROENG;THEATREop;ART_Pop;MUSICop;EUROENG;;EUROALL
;;EUROENG;;ART_Pop;EUROENG;ART_Pop;;;
;;;;EUROENG;EUROALL;EUROENG;;;
